timestamp,returnAmount,amount,caller,returnAmountFiat,date
1648891742000,2.2966415387776484,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,7901.219112676271,4/2/2022, 5:29:02 AM
1648891617000,2.296595064136901,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,7901.059224285536,4/2/2022, 5:26:57 AM
1648853827000,0.5127577538050407,223270,0xa9a1b8c4ee2cf76e8b22c5dad3976d269e4050e5,1769.6275554938413,4/1/2022, 6:57:07 PM
1648800072000,0.20033940706331801,87235.031504,0xf478852b79d6baac6c6d33f8845e8d50ca7252dc,691.410578503591,4/1/2022, 4:01:12 AM
1648774654000,0.19287752374367664,83986,0xc49e5aca52cd7f869ba5d4f0274669d4838f815a,665.6581559603369,3/31/2022, 8:57:34 PM
1648715851000,0.7541104456835791,328379.618624,0xa9903bda477b9a57bd795adff9922cb98db65f04,2475.972969925926,3/31/2022, 4:37:31 AM
1648617208000,0.20484769960990312,89203.21304516167,0x199c719c83d8246559700c00fff8cde14182e192,693.1613438167655,3/30/2022, 1:13:28 AM
1648539526000,2.296318481502302,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,7810.202667995354,3/29/2022, 3:38:46 AM
1648472722000,2.066599210347177,900000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6879.5726333753355,3/28/2022, 9:05:22 AM
1648433825000,0.45793557994018513,199431,0x4b771e3421d4fbecc6eb67a26af77aca85ef2ac3,1524.4373789710833,3/27/2022, 10:17:05 PM
1647961116000,0.02681700335092506,11606.67144,0x04094af24cd5b200385306ace1658da5142544df,79.6407338582902,3/22/2022, 10:58:36 AM
1647937679000,0.03754379236361691,16249.340016,0xfa321054f3e58a90e2949bf14d5d32cbe5b96e72,111.49699079105277,3/22/2022, 4:27:59 AM
1647925994000,1.3862608361795847,600000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,4116.89661471966,3/22/2022, 1:13:14 AM
1647913040000,1.8483179093191462,799999.9999999999,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,5489.106772122612,3/21/2022, 9:37:20 PM
1647912438000,0.011551985766736932,5000,0xfcfa4369eaa965ac4e36f1dd9fd2852c6542b0f7,34.30691386148918,3/21/2022, 9:27:18 PM
1647873770000,2.310348565485286,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6692.1254641471105,3/21/2022, 10:42:50 AM
1647844206000,0.2351298874381897,101772.68228540315,0x7c3f14075f6477fea1af6cf59f325afdfcd3ddf7,681.0741593776077,3/21/2022, 2:30:06 AM
1647834099000,0.026974644925278648,11675.6004296,0xfcfa4369eaa965ac4e36f1dd9fd2852c6542b0f7,78.13440399754845,3/20/2022, 11:41:39 PM
1647727359000,0.4731474954473855,204802.47971292396,0x7c3f14075f6477fea1af6cf59f325afdfcd3ddf7,1394.4726752807467,3/19/2022, 6:02:39 PM
1647707929000,8.916341708608881,3859750.249276495,0x9e21a92ca45d634466d98a6a1a13f52c3e1b43fb,26278.475519276544,3/19/2022, 12:38:49 PM
1647705129000,2.310035996263894,1000000,0x84d7eb1ed1ba424b67f6f3fe3cd7a38386a28342,6808.198514628189,3/19/2022, 11:52:09 AM
1647602301000,1.6008115620288632,692996.8282032269,0x3443d0a6956e7e0a13cd1c54f6bef24b0d54f420,4715.58411182542,3/18/2022, 7:18:21 AM
1647565757000,2.6274395794787195,1137453.80112,0x6cab32c4882d9fc5bd7ecf8b681c5ca3bdf6e0fe,7739.769395510975,3/17/2022, 9:09:17 PM
1647513962000,0.010724138312545808,4642.668576,0x826dc4625ca67c6c3436b21f468ca3d66a13b010,30.2141988098594,3/17/2022, 6:46:02 AM
1647500933000,1.651258122887167,714873.0235771592,0x06ac16ff8caa7c7a4d66f506a4c74d4da9e8569e,4652.256410469995,3/17/2022, 3:08:53 AM
1647481628000,0.700563047802277,303294,0xbce7b0a0fb13699cd54d7d81a36a5211eb019cf1,1973.7670839601656,3/16/2022, 9:47:08 PM
1647323450000,0.4481029027748798,194000,0xe58d3828c9ee9d6df2379a275b28aac0322a05a8,1174.192648596188,3/15/2022, 1:50:50 AM
1647296172000,0.5081407547020201,220000,0xbd9d1d31a6a451f7a8ec61fc5fd491fd59d5f489,1316.8681285349921,3/14/2022, 6:16:12 PM
